edinet_code,sec_code,filer_name,corporate_number
E05951,9399,ビート・ホールディングス・リミテッド　（貝德控股有限公司、Ｂｅａｔ　Ｈｏｌｄｉｎｇｓ　Ｌｉｍｉｔｅｄ）,
E05958,4875,メディシノバ・インク,
E21187,5857,ＡＲＥホールディングス株式会社,4140001030937
E21514,2179,株式会社成学社,6120001140744
E21553,3628,株式会社データホライゾン,9240001012318
E22016,3444,株式会社菊池製作所,6010101000917
E22470,6078,株式会社バリューＨＲ,7011001036950
E22612,3266,株式会社ファンドクリエーショングループ,8010001145769
E22995,3154,メディアスホールディングス株式会社,3010001135832
E23288,3157,ジオリーブグループ株式会社,8010401084328
E23487,4575,株式会社キャンバス,1080101002382
E23741,3131,シンデン・ハイテックス株式会社,2010001094897
E24512,1418,インターライフホールディングス株式会社,4011501016216
E24982,3645,株式会社メディカルネット,1011001036766
E24998,3647,株式会社アスリナ,7010401094468
E25169,6249,株式会社ゲームカードホールディングス,7010001139202
E25665,6620,宮越ホールディングス株式会社,6010801021964
E26095,3169,株式会社ミサワ,7013201019157
E26096,4583,株式会社カイオム・バイオサイエンス,6011101054960
E26579,3174,株式会社ハピネス・アンド・ディ,4040001063955
E26625,6063,日本エマージェンシーアシスタンス株式会社,8010001081502
E26703,3665,株式会社エニグモ,8010401088452
E26839,6070,キャリアリンク株式会社,2011101023151
E27016,4929,株式会社アジュバンホールディングス,2140001015675
E27043,6087,株式会社アビスト,8011001065412
E27210,3183,ウイン・パートナーズ株式会社,9010501035080
E27215,3180,株式会社ビューティガレージ,6011301013031
E27235,3670,協立情報通信株式会社,2010401008184
E27530,6248,株式会社横田製作所,4240001012215
E27815,3187,株式会社ミラタップ,5120001080628
E30053,6081,アライドアーキテクツ株式会社,5011001045516
E30085,3682,エンカレッジ・テクノロジ株式会社,4010001084285
E30124,3294,株式会社イーグランド,9010001084487
E30130,6088,株式会社シグマクシス・ホールディングス,6010401075873
E30479,6616,トレックス・セミコンダクター株式会社,2010001079907
E30877,3692,株式会社ＦＦＲＩセキュリティ,3011101046226
E30881,3195,株式会社ジェネレーションパス,9011101032971
E30998,6029,アトラグループ株式会社,6120001113618
E30999,6025,日本ＰＣサービス株式会社,9120901014607
E31035,2586,株式会社フルッタフルッタ,4010001094581
E31037,4248,竹本容器株式会社,9010501007633
E31042,3445,株式会社ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3010701024500
E31071,6034,ＭＲＴ株式会社,3011101059533
E31123,7815,東京ボード工業株式会社,2010601034286
E31131,3905,データセクション株式会社,7010401083082
E31335,4593,株式会社ヘリオス,3290001055549
E31336,3908,株式会社コラボス,6010001076248
E31436,3914,ＪＩＧ－ＳＡＷ株式会社,3430001027574
E31574,3137,株式会社ファンデリー,5011501004062
E31602,7781,株式会社平山ホールディングス,8010401098518
E31622,7812,株式会社クレステック,1080401001547
E31640,3918,ＰＣＩホールディングス株式会社,2010701018957
E31681,3461,株式会社パルマ,6010001082675
E31729,3139,株式会社ラクト・ジャパン,5010001051615
E31741,1434,ＪＥＳＣＯホールディングス株式会社,1011101008616
E31905,7183,あんしん保証株式会社,9010401049214
E31997,6186,株式会社一蔵,4030001000777
E32108,3931,株式会社バリューゴルフ,1010401055616
E32156,6189,株式会社グローバルキッズＣＯＭＰＡＮＹ,1010001170889
E32159,3934,株式会社ベネフィットジャパン,7120001089122
E32161,3933,チエル株式会社,7011101025151
E32198,9466,株式会社アイドママーケティングコミュニケーション,4230001000030
E32254,3539,株式会社ＪＭホールディングス,1050001011577
E32408,3937,株式会社Ｕｂｉｃｏｍホールディングス,8010401059998
E32591,3940,株式会社ノムラシステムコーポレーション,3011001035642
E32592,3547,株式会社ユニシアホールディングス,8010901029204
E32601,6533,株式会社Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,3011001061184
E32603,3939,株式会社カナミックネットワーク,9010701012714
E32736,3550,株式会社スタジオアタオ,8140001028011
E32750,3967,株式会社エルテス,4010401099544
E32763,7191,株式会社イントラスト,6010001133718
E32770,5704,株式会社ＪＭＣ,2020001035875
E32779,3482,ロードスターキャピタル株式会社,9011001072894
E32795,6538,株式会社ディスラプターズ,4010401081592
E32801,6539,株式会社ＭＳ－Ｊａｐａｎ,9120001111949
E32814,3974,ＳＣＡＴ株式会社,8060001014432
E32951,6543,株式会社日宣,8010001071429
E32989,4881,株式会社ファンペップ,1011001097115
E33026,3984,株式会社ユーザーローカル,9011001069346
E33037,3562,株式会社Ｎｏ．１,8010001136248
E33040,3985,テモナ株式会社,4010601036512
E33044,4597,ソレイジア・ファーマ株式会社,9010401075961
E33109,3565,アセンテック株式会社,2011101051771
E33232,3986,株式会社ビーブレイクシステムズ,7010701013986
E33247,6549,ディーエムソリューションズ株式会社,9012401014057
E33272,6551,株式会社ツナググループ・ホールディングス,8010001107240
E33282,9262,株式会社シルバーライフ,7010901028669
E33305,3566,ユニフォームネクスト株式会社,2210001004332
E33313,7810,株式会社クロスフォー,1090001001062
E33323,6696,株式会社トラース・オン・プロダクト,7020001042025
E33345,6695,株式会社キャストリコ,4010001096017
E33357,6554,株式会社エスユーエス,6130001017685
E33416,9267,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ株式会社,5210001016969
E33435,3484,株式会社イノベーションホールディングス,7011101062525
E33497,7808,株式会社シー・エス・ランバー,1040001057646
E33514,9264,ポエック株式会社,5240001032096
E33515,6558,クックビズ株式会社,7120001128193
E33535,1443,技研ホールディングス株式会社,2011301023802
E33553,3997,株式会社トレードワークス,1010001085245
E33579,3486,株式会社グローバル・リンク・マネジメント,3011001044453
E33588,6560,株式会社エル・ティー・エス,8011101053812
E33594,6235,株式会社オプトラン,1030001056764
E33602,6561,株式会社ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,3010401058864
E33610,9388,株式会社パパネッツ,9030001067804
E33623,4390,株式会社アイ・ピー・エス,5010001072421
E33626,3998,株式会社すららネット,7010001136802
E33633,6566,株式会社要興業,7013301003168
E33784,4380,株式会社Ｍマート,8011101033863
E33790,7090,株式会社リグア,7120001108848
E33800,2934,ジェイフロンティア株式会社,9011001063340
E33838,6571,キュービーネットホールディングス株式会社,6010001163541
E33858,9271,株式会社和心,6011001072625
E33863,3490,株式会社アズ企画設計,9030001073546
E33864,6574,株式会社コンヴァノ,8011001095822
E33880,4382,ＨＥＲＯＺ株式会社,7010401081739
E33928,6578,株式会社コレックホールディングス,2013301031289
E34031,4386,株式会社ＳＩＧグループ,7010001001114
E34045,4391,ロジザード株式会社,1010401053173
E34070,7031,株式会社インバウンドテック,4011101072956
E34071,9273,コーア商事ホールディングス株式会社,6020001109452
E34090,4389,プロパティデータバンク株式会社,7010401042534
E34097,7040,株式会社サン・ライフホールディング,4021001065753
E34114,4422,ＶＡＬＵＥＮＥＸ株式会社,3010001125817
E34238,7035,ａｎｄ　ｆａｃｔｏｒｙ株式会社,7011001102001
E34256,3495,香陵住販株式会社,2050001000950
E34290,7038,フロンティア・マネジメント株式会社,1010001121867
E34335,4421,株式会社ディ・アイ・システム,3010401052264
E34352,7041,ＣＲＧホールディングス株式会社,7011101067961
E34379,7042,株式会社アクセスグループ・ホールディングス,5010401081443
E34455,7681,株式会社レオクラン,1120901010233
E34470,7670,オーウエル株式会社,6120001049291
E34486,1450,ＴＡＮＡＫＥＮ株式会社,7010401017288
E34498,7043,アルー株式会社,6010001145804
E34522,2970,ＧＬＣ　ＧＲＯＵＰ株式会社,7330001008449
E34565,7675,セントラルフォレストグループ株式会社,2180001135998
E34587,4437,ｇｏｏｄｄａｙｓホールディングス株式会社,9010001174040
E34633,4429,リックソフト株式会社,1010001124218
E34634,7049,株式会社識学,7011001104435
E34657,7050,株式会社フロンティアインターナショナル,4011001031764
E34663,4430,東海ソフト株式会社,1180001031538
E34735,7061,日本ホスピスホールディングス株式会社,5010001180645
E34851,7345,株式会社アイ・パートナーズフィナンシャル,3020001046095
E34853,4446,Ｌｉｎｋ－Ｕグループ株式会社,6010701028399
E34866,7064,株式会社ハウテレビジョン,4011601015654
E34954,7066,株式会社ピアズ,8180001056958
E34974,4444,株式会社インフォネット,2010001142978
E34994,7378,株式会社アシロ,9011101076787
E34995,7068,フィードフォースグループ株式会社,7010001098357
E34999,4599,株式会社ステムリム,6120901018131
E35114,6597,ＨＰＣシステムズ株式会社,4010401096252
E35137,4450,株式会社パワーソリューションズ,6010001106038
E35163,4477,ＢＡＳＥ株式会社,7010401103229
E35164,4481,ベース株式会社,9010001063813
E35170,7683,株式会社ダブルエー,2011001053257
E35187,7073,株式会社ジェイック,1010001066022
E35220,4251,恵和株式会社,1120001051649
E35238,7074,株式会社トゥエンティーフォーセブンホールディングス,6010001115154
E35258,7076,名南Ｍ＆Ａ株式会社,1180001116041
E35294,3449,株式会社テクノフレックス,3010501032975
E35307,4486,ユナイトアンドグロウ株式会社,4011101061083
E35308,4483,株式会社ＪＭＤＣ,6010403010531
E35341,7078,ＩＮＣＬＵＳＩＶＥ　Ｈｏｌｄｉｎｇｓ株式会社,3010401068418
E35449,6231,木村工機株式会社,9120001077892
E35466,4491,コンピューターマネージメント株式会社,8120001028938
E35488,7085,株式会社カーブスホールディングス,5070001005771
E35491,7687,株式会社ミクリード,7011501018184
E35496,4888,ステラファーマ株式会社,5120001124194
E35508,7091,株式会社リビングプラットフォーム,4430001059195
E35514,7093,アディッシュ株式会社,1010701029988
E35518,4883,株式会社モダリス,1010001172984
E35542,6613,株式会社ＱＤレーザ,8020001085428
E35555,6599,エブレン株式会社,4010101000605
E35560,7317,株式会社松屋アールアンドディ,3210001009917
E35589,4496,株式会社コマースＯｎｅホールディングス,7010001101896
E35597,2984,ヤマイチエステート株式会社,6170001003368
E35610,7367,株式会社セルム,8011001112552
E35611,7097,株式会社さくらさくプラス,6010001185437
E35642,4051,ＧＭＯフィナンシャルゲート株式会社,5011001064508
E35758,4052,フィーチャ株式会社,6030001049697
E35765,4057,株式会社インターファクトリー,9011601012325
E35773,7351,株式会社グッドパッチ,6010501033839
E35791,4886,あすか製薬ホールディングス株式会社,8010401159328
E35931,7354,株式会社ダイレクトマーケティングミックス,7010001185502
E35941,4011,株式会社ヘッドウォータース,4011101040211
E35947,2932,株式会社ＳＴＩフードホールディングス,8010401135262
E35948,285A,キオクシアホールディングス株式会社,8010401144206
E35989,4014,株式会社カラダノート,7010401079733
E36077,4016,ＭＩＴホールディングス株式会社,8040001042344
E36100,4017,株式会社クリーマ,6011001059861
E36107,4168,株式会社ヤプリ,6010401104203
E36108,4020,ビートレンド株式会社,7010401054521
E36122,4170,株式会社Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,2010401130731
E36123,7694,株式会社いつも,4010401074282
E36134,7366,株式会社ＬＩＴＡＬＩＣＯ,4011001133197
E36155,4019,株式会社スタメン,7180001121985
E36174,4166,かっこ株式会社,9010001137889
E36213,4174,株式会社アピリッツ,4011001065192
E36312,4018,株式会社Ｇｅｏｌｏｃａｔｉｏｎ　Ｔｅｃｈｎｏｌｏｇｙ,4080101006447
E36343,4177,株式会社ｉ－ｐｌｕｇ,2140001087145
E36350,4885,室町ケミカル株式会社,3290001054096
E36353,7362,株式会社Ｔ．Ｓ．Ｉ,6130001044812
E36366,4178,株式会社Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,5010601039720
E36372,4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ株式会社,4010403018510
E36398,4179,株式会社ジーネクスト,6010001146785
E36405,9327,株式会社イー・ロジット,7010001126191
E36410,4192,スパイダープラス株式会社,5013301026121
E36412,5074,テスホールディングス株式会社,7120001138936
E36420,7361,株式会社ヒューマンクリエイションホールディングス,8010001178760
E36433,6521,株式会社オキサイド,9090001011376
E36478,7375,株式会社リファインバースグループ,8010001219556
E36498,7347,株式会社マーキュリアホールディングス,8010001219432
E36532,4196,株式会社ネオマーケティング,4011001046358
E36539,7377,ＤＮホールディングス株式会社,8010001219795
E36545,6228,株式会社ジェイ・イー・ティ,1260001018766
E36621,7369,株式会社メイホーホールディングス,6200001033709
E36629,7372,株式会社デコルテ・ホールディングス,2010001180292
E36635,4071,株式会社プラスアルファ・コンサルティング,9010401068115
E36637,4198,株式会社テンダ,3013301014169
E36653,4069,株式会社ＢｌｕｅＭｅｍｅ,3010001132912
E36655,7376,ＢＣＣ株式会社,4120001181633
E36666,4073,株式会社ジィ・シィ企画,5040001046876
E36667,369A,株式会社エータイ,3011101038066
E36670,7792,株式会社コラントッテ,8120001073372
E36697,4937,株式会社Ｗａｑｏｏ,9010901023800
E36708,4074,株式会社ラキール,4010401134301
E36713,7699,オムニ・プラス・システム・リミテッド,
E36714,7129,ミアヘルサホールディングス株式会社,3011101096519
E36722,4075,ブレインズテクノロジー株式会社,3010601036265
E36751,9247,ＴＲＥホールディングス株式会社,2010001221609
E36757,7127,株式会社一家ホールディングス,4040001120442
E36840,4076,株式会社シイエヌエス,9011001034011
E36896,9246,株式会社プロジェクトホールディングス,8010401122459
E36897,4371,株式会社コアコンセプト・テクノロジー,4010001127738
E36901,4374,株式会社ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,7011001051017
E36937,4270,株式会社ＢｅｅＸ,4010001173996
E36944,4377,株式会社ワンキャリア,8011001106991
E36988,9250,株式会社ＧＲＣＳ,3010001097899
E37006,9253,スローガン株式会社,1010001096077
E37038,9251,株式会社ＡＢ＆Ｃｏｍｐａｎｙ,8010401136855
E37069,4891,㈱ティムス,5013401006469
E37082,7131,のむら産業株式会社,2012701007849
E37095,4412,株式会社サイエンスアーツ,3010001129272
E37098,9252,株式会社ラストワンマイル,2010001147267
E37130,4414,株式会社フレクト,6011001045498
E37131,4261,アジアクエスト株式会社,2010901030183
E37141,2993,株式会社長栄,9130001015067
E37143,7134,株式会社アップガレージグループ,7020001105153
E37145,4419,株式会社Ｆｉｎａｔｅｘｔホールディングス,8010001157847
E37146,4416,株式会社Ｔｒｕｅ　Ｄａｔａ,6010401042601
E37147,4417,グローバルセキュリティエキスパート株式会社,2010401086255
E37153,9212,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ株式会社,4010001142142
E37159,9254,株式会社ラバブルマーケティンググループ,3010401113149
E37169,4256,株式会社サインド,9010701025765
E37176,9211,株式会社エフ・コード,7011101050802
E37198,7133,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ株式会社,4290001042983
E37199,9258,株式会社ＣＳ－Ｃ,6011501017170
E37207,4263,サスメド株式会社,7010003022232
E37214,9158,株式会社シーユーシー,9010401113614
E37220,9257,ＹＣＰホールディングス（グローバル）リミテッド,
E37222,4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ株式会社,8011001065180
E37304,9213,株式会社セイファート,6011001043048
E37419,7793,株式会社イメージ・マジック,4030001059302
E37457,7138,株式会社ＴＯＲＩＣＯ,5011201010526
E37466,5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ株式会社,7010401150205
E37468,5079,株式会社ノバック,4140001058111
E37502,4197,株式会社アスマーク,2010901015886
E37504,2998,クリアル株式会社,3010401093663
E37506,5028,セカンドサイトアナリティカ株式会社,1010001176151
E37508,9218,株式会社メンタルヘルステクノロジーズ,2010701026514
E37546,9219,株式会社ギックス,8011001092828
E37560,9221,フルハシＥＰＯ株式会社,3180001022733
E37563,281A,インフォメティス株式会社,2010401105122
E37595,2997,株式会社ストレージ王,3260001012107
E37603,5029,サークレイス株式会社,5010001150061
E37742,9553,株式会社マイクロアド,5011001052933
E37743,366A,ウェルネス・コミュニケーションズ株式会社,2010601032208
E37744,9554,株式会社ＡＶｉＣ,5012401024308
E37810,9225,ブリッジコンサルティンググループ株式会社,9010401096413
E37814,7795,株式会社ＫＹＯＲＩＴＳＵ,5010902023530
E37815,5034,株式会社ｕｎｅｒｒｙ,7010001169991
E37831,7111,ＩＮＥＳＴ株式会社,6013301049765
E37848,7110,株式会社クラシコム,6012401017913
